topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Electric Potential,electric potential;definition;work done,Eduqas;AQA;OCR;Edexcel,What is electric potential at a point in a field defined as?,The electric field strength at that point,The force on a unit charge at that point,The work done in moving a unit positive charge from infinity,The total energy stored in the field,C,Electric potential is defined as the work done in bringing a unit positive charge from infinity to that point.,easy
Fields,Electric Potential,electric potential;unit;volt,Eduqas;AQA;OCR;Edexcel,What is the unit of electric potential?,Coulomb,Volt,Joule,Newton,B,"Electric potential is measured in volts (V), which is equivalent to joules per coulomb.",easy
Fields,Electric Potential,uniform field;electric potential;direction,Eduqas;AQA;OCR;Edexcel,Which of the following is true about electric potential in a uniform field?,It increases with distance from the source,It decreases in the direction of the field,It is always zero,It remains constant,B,"In a uniform electric field, potential decreases in the direction of the field.",medium
Fields,Electric Potential,point charge;potential;formula,Eduqas;AQA;OCR;Edexcel,What is the electric potential at a distance r from a point charge Q?,V = kQ/r²,V = kQ/r,V = Qr,V = kr²/Q,B,Electric potential due to a point charge is V = kQ/r.,medium
Fields,Electric Potential,electric potential;scalar;quantity,Eduqas;AQA;OCR;Edexcel,Electric potential is:,A vector quantity,Always positive,The same as electric field,A scalar quantity,D,Electric potential is a scalar — it has magnitude but no direction.,easy
Fields,Electric Potential,electric field;potential;uniform,Eduqas;AQA;OCR;Edexcel,How is electric potential related to electric field strength in a uniform field?,E = V × d,E = V/d,E = V + d,E = d/V,B,"In a uniform field, electric field strength E = V/d, where d is the distance between plates.",medium
Fields,Electric Potential,superposition;electric potential;scalar addition,Eduqas;AQA;OCR;Edexcel,Two point charges produce electric potentials of 10 V and -5 V at a point. What is the total electric potential at that point?,5 V,15 V,0 V,-5 V,A,"Electric potential is scalar, so the net potential is 10 V + (-5 V) = 5 V.",medium
Fields,Electric Potential,potential energy;calculation;electric potential,Eduqas;AQA;OCR;Edexcel,"If a charge of 2 C is placed at a point with electric potential of 12 V, what is the potential energy?",6 J,12 J,24 J,10 J,C,Potential energy = qV = 2 × 12 = 24 J.,medium
Fields,Electric Potential,electric potential;infinity;reference,Eduqas;AQA;OCR;Edexcel,The electric potential at infinity is considered to be:,Maximum,Zero,Minimum,Infinite,B,"By convention, the electric potential at infinity is defined as zero.",easy
Fields,Electric Potential,electric potential;gradient;field strength,Eduqas;AQA;OCR;Edexcel,What does the gradient of a potential-distance graph represent?,Current,Charge,Electric field strength,Potential energy,C,The electric field is the negative gradient of the electric potential versus distance graph: E = -dV/dr.,hard
