topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,big bang;origin;universe,Eduqas;AQA;OCR;Edexcel,What does the Big Bang theory propose?,The universe has always existed in a steady state,The universe formed from the collision of two stars,"The universe began from a single, extremely dense and hot point",The universe is shrinking over time,C,The Big Bang theory suggests the universe originated from a singularity around 13.8 billion years ago.,easy
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;cosmic microwave background;big bang,Eduqas;AQA;OCR;Edexcel,What is the cosmic microwave background (CMB)?,Radiation from the Sun,Light from distant galaxies,Thermal radiation left over from the Big Bang,Infrared radiation from black holes,C,"The CMB is low-energy microwave radiation from the early universe, a relic of the Big Bang.",easy
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;spectrum;black body,Eduqas;AQA;OCR;Edexcel,What type of spectrum does the CMB exhibit?,Absorption spectrum,Emission lines,Perfect black body spectrum,Continuous UV spectrum,C,"The CMB is a near-perfect black body spectrum, consistent with theoretical predictions.",medium
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;temperature;big bang evidence,Eduqas;AQA;OCR;Edexcel,What is the current temperature of the CMB?,2.7 K,100 K,273 K,0 K,A,The CMB is observed to have a temperature of approximately 2.7 Kelvin.,easy
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;evidence;big bang,Eduqas;AQA;OCR;Edexcel,Which of the following best describes the evidence provided by the CMB?,It shows galaxies are accelerating,It confirms the Earth is at the center of the universe,It supports the idea of an early hot dense universe,It disproves general relativity,C,"The uniform, isotropic CMB supports the theory that the universe was once hot and dense.",medium
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;support;big bang,Eduqas;AQA;OCR;Edexcel,How does the CMB support the Big Bang theory?,It shows that galaxies are all redshifted,It matches predictions of a uniformly expanding universe,It provides evidence of cosmic inflation,"It is leftover radiation from a hot, dense early universe",D,"The CMB is remnant radiation from the hot, dense phase shortly after the Big Bang.",medium
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;uniformity;inflation,Eduqas;AQA;OCR;Edexcel,Why is the CMB nearly uniform in all directions?,Due to Earth's magnetic field,Due to cosmic inflation smoothing temperature fluctuations,Due to redshift of light from nearby stars,Because the universe is static,B,"Cosmic inflation stretched the early universe, making temperature differences very small across large regions.",hard
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;recombination;transparency,Eduqas;AQA;OCR;Edexcel,"What key event made the universe transparent to radiation, allowing the CMB to form?",Formation of stars,Recombination of electrons and nuclei,Expansion of galaxies,Collision of galaxy clusters,B,"Recombination allowed photons to travel freely, creating the observable CMB.",hard
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cobe;satellite;cmb mapping,Eduqas;AQA;OCR;Edexcel,Which satellite first provided detailed measurements of the CMB?,COBE,Voyager,Hubble,Kepler,A,The COBE satellite mapped the CMB and confirmed its black body spectrum.,medium
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background,cmb;isotropy;early universe,Eduqas;AQA;OCR;Edexcel,What does isotropy of the CMB imply about the early universe?,It was chaotic and uneven,It had significant temperature differences,It was uniform in temperature and density,It was completely cold,C,"Isotropy of the CMB implies the early universe was uniform, supporting inflation theory.",medium
