topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,HR diagram;temperature;luminosity,Eduqas;AQA;OCR;Edexcel,Which two properties are plotted on the axes of a Hertzsprung-Russell (HR) diagram?,Luminosity and temperature,Mass and brightness,Radius and spectral class,Age and brightness,A,"The HR diagram plots stellar luminosity (vertical axis) against surface temperature (horizontal axis, decreasing to the right).",easy
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,main sequence;HR diagram;stellar classification,Eduqas;AQA;OCR;Edexcel,"On the HR diagram, where do most stars lie?",On the horizontal branch,On the main sequence,In the red giant region,In the white dwarf region,B,"Most stars, including the Sun, lie on the main sequence, a diagonal band where stars spend most of their life.",easy
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,white dwarf;temperature;luminosity,Eduqas;AQA;OCR;Edexcel,Which of the following best describes a white dwarf on the HR diagram?,High luminosity and low temperature,Low luminosity and high temperature,Low luminosity and low temperature,High luminosity and high temperature,B,"White dwarfs are very hot but dim, so they appear in the lower left of the HR diagram.",medium
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,spectral class;stellar classification;temperature,Eduqas;AQA;OCR;Edexcel,Which spectral class represents the hottest stars?,O,B,G,M,A,"O-class stars are the hottest, followed by B, A, F, G, K, and M.",easy
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,HR diagram;temperature;axes,Eduqas;AQA;OCR;Edexcel,In which direction does temperature increase on the HR diagram?,To the right,Upward,Downward,To the left,D,Temperature increases to the left on the HR diagram — it’s plotted in reverse order.,medium
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,red supergiant;HR diagram;position,Eduqas;AQA;OCR;Edexcel,The star Betelgeuse is classified as a red supergiant. Where would it appear on the HR diagram?,Lower left,Upper right,Upper left,Centre,B,"Red supergiants are cool and extremely luminous, placing them in the upper right of the HR diagram.",medium
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,stellar evolution;HR diagram;life cycle,Eduqas;AQA;OCR;Edexcel,What does the position of a star on the HR diagram indicate about its life stage?,Only its composition,Only its location in the galaxy,"Its temperature and size, which help determine its evolutionary stage",Its orbital velocity,C,"A star’s position on the HR diagram gives clues about its temperature, luminosity, and hence its stage of life.",medium
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,HR diagram;temperature;luminosity;main sequence,Eduqas;AQA;OCR;Edexcel,"A star has a luminosity of 100 L☉ and a surface temperature of 10,000 K. Where would it lie on the HR diagram?",Main sequence,Red giant,White dwarf,Supergiant,A,High temperature and moderate luminosity place the star on the upper main sequence.,hard
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,HR diagram;cool stars;luminosity,Eduqas;AQA;OCR;Edexcel,Which type of stars appear in the lower right of the HR diagram?,"Cool, dim stars","Hot, bright stars","Cool, bright stars","Hot, dim stars",A,"Stars in the lower right are low-temperature and low-luminosity — small, cool stars.",medium
Astrophysics and Cosmology,Stellar Classification and HR Diagrams,spectral classification;temperature;spectrum,Eduqas;AQA;OCR;Edexcel,What physical characteristics are used to classify stars into spectral classes?,Color and mass,Temperature and spectral lines,Orbit and temperature,Rotation rate and luminosity,B,Spectral classification is based on temperature and absorption lines observed in the star’s spectrum.,medium
