topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Gravitational Fields and Orbits,gravitational field;radial;spherical mass,Eduqas;AQA;OCR;Edexcel,What is the shape of the gravitational field around a spherical mass like a planet?,Uniform field,Radial field,Linear field,Cylindrical field,B,The field around a point mass or spherical object is radial — it spreads out equally in all directions.,easy
Fields,Gravitational Fields and Orbits,newton;gravitation;force,Eduqas;AQA;OCR;Edexcel,What is Newton’s Law of Universal Gravitation?,F = ma,F = Gm₁m₂/r²,F = mv²/r,F = kq₁q₂/r²,B,Newton's law: gravitational force F is proportional to the product of masses and inversely to the square of distance.,easy
Fields,Gravitational Fields and Orbits,gravitational potential;sign;energy,Eduqas;AQA;OCR;Edexcel,Which of the following quantities is always negative for a gravitational field?,Gravitational force,Gravitational field strength,Gravitational potential,Orbital speed,C,Gravitational potential is always negative because work must be done to remove mass from the field.,medium
Fields,Gravitational Fields and Orbits,satellite;orbit;centripetal force;gravity,Eduqas;AQA;OCR;Edexcel,What provides the centripetal force for a satellite in orbit around Earth?,Thrust from the rocket,Gravity,Magnetic attraction,Friction with the atmosphere,B,Gravitational force acts as the centripetal force that keeps the satellite in orbit.,easy
Fields,Gravitational Fields and Orbits,orbital speed;radius;relationship,Eduqas;AQA;OCR;Edexcel,"If the radius of a circular orbit is doubled, what happens to the orbital speed?",It halves,It stays the same,It increases,It decreases by a factor of √2,D,"Orbital speed v ∝ 1/√r, so doubling r decreases speed by √2.",medium
Fields,Gravitational Fields and Orbits,escape velocity;formula;energy,Eduqas;AQA;OCR;Edexcel,What is the escape velocity from a planet of mass M and radius R?,√(GM/R²),GM/R,√(2GM/R),2GM/R²,C,Escape velocity is derived from conservation of energy: v = √(2GM/R).,hard
Fields,Gravitational Fields and Orbits,satellite;energy;orbit,Eduqas;AQA;OCR;Edexcel,A satellite moves from a lower orbit to a higher one. What happens to its total energy?,It increases,It decreases,It stays the same,It becomes zero,A,Total energy increases because gravitational potential energy becomes less negative.,medium
Fields,Gravitational Fields and Orbits,circular orbit;speed;constant,Eduqas;AQA;OCR;Edexcel,Which quantity remains constant for a satellite in circular orbit?,Speed,Velocity,Gravitational potential energy,Kinetic energy,A,"In a circular orbit, speed remains constant even though direction (velocity) changes.",medium
Fields,Gravitational Fields and Orbits,field strength;distance;inverse square,Eduqas;AQA;OCR;Edexcel,How does gravitational field strength vary with distance from a point mass?,It increases with distance,It is constant,It decreases with r,It decreases with r²,D,Gravitational field strength g = GM/r² — it decreases with the square of distance.,easy
Fields,Gravitational Fields and Orbits,gravitational potential;units,Eduqas;AQA;OCR;Edexcel,What is the unit of gravitational potential?,J/kg,N/kg,J,Nm²/kg²,A,Gravitational potential has units of energy per unit mass — joules per kilogram (J/kg).,easy
