"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","Internal Resistance","internal resistance;definition;battery","Eduqas;AQA;OCR;Edexcel","What is internal resistance in a power source?","The resistance of connecting wires","The opposition to current outside the battery","The resistance within the power supply itself","The total resistance in a series circuit","C","Internal resistance is the resistance inside a battery or power source that causes energy loss.","easy"
"Electricity","Internal Resistance","emf;internal resistance;equation","Eduqas;AQA;OCR;Edexcel","Which formula relates EMF, terminal voltage, and internal resistance?","E = IR","V = IR","E = V + Ir","V = E + Ir","C","E = V + Ir, where E is EMF, V is terminal p.d., I is current, and r is internal resistance.","medium"
"Electricity","Internal Resistance","terminal voltage;calculation;internal resistance","Eduqas;AQA;OCR;Edexcel","A battery has an EMF of 12 V and internal resistance of 1 Ω. If 2 A flows, what is the terminal voltage?","14 V","10 V","12 V","9 V","B","V = E – Ir = 12 – (2×1) = 10 V.","medium"
"Electricity","Internal Resistance","terminal pd;current;internal resistance","Eduqas;AQA;OCR;Edexcel","What happens to terminal p.d. as current increases in a circuit with internal resistance?","It increases","It remains the same","It decreases","It becomes negative","C","As current increases, the voltage drop across internal resistance (Ir) increases, reducing terminal p.d.","medium"
"Electricity","Internal Resistance","internal resistance;calculation;EMF","Eduqas;AQA;OCR;Edexcel","A power supply has an EMF of 6 V and delivers 1.5 A with a terminal p.d. of 4.5 V. What is its internal resistance?","1.5 Ω","2.0 Ω","1.0 Ω","3.0 Ω","A","E = V + Ir → 6 = 4.5 + (1.5)r → r = 1.5 Ω.","hard"
"Electricity","Internal Resistance","battery;heat;internal resistance","Eduqas;AQA;OCR;Edexcel","Why does a battery get warm under load?","Current flows backward","It has no resistance","Energy is dissipated as heat due to internal resistance","Chemical reactions are reversed","C","Internal resistance causes power dissipation as heat when current flows.","easy"
"Electricity","Internal Resistance","power;internal resistance;heat loss","Eduqas;AQA;OCR;Edexcel","What is the power dissipated inside a battery due to internal resistance?","P = VI","P = I²r","P = V/r","P = Ir²","B","Power dissipated internally is P = I²r, where r is the internal resistance.","medium"
"Electricity","Internal Resistance","terminal pd;emf;internal resistance","Eduqas;AQA;OCR;Edexcel","If a cell's terminal p.d. is nearly equal to its EMF, what does this suggest?","High current flow","Large internal resistance","Low internal resistance","Open circuit","C","Low internal resistance means minimal voltage drop, so terminal p.d. ≈ EMF.","medium"
"Electricity","Internal Resistance","power;internal;current","Eduqas;AQA;OCR;Edexcel","A battery delivers 3 A and has an internal resistance of 0.2 Ω. How much power is lost internally?","0.6 W","1.8 W","9 W","0.2 W","A","P = I²r = 3² × 0.2 = 0.6 W.","hard"
"Electricity","Internal Resistance","reduce;internal resistance;cells","Eduqas;AQA;OCR;Edexcel","Which of the following reduces the effect of internal resistance?","Increasing the current drawn","Connecting more cells in series","Using cells with lower internal resistance","Using shorter wires in the circuit","C","Cells with low internal resistance reduce voltage drop and energy loss.","medium"
