"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","Series and Parallel Circuits","series circuit;resistance;sum","Eduqas;AQA;OCR;Edexcel","In a series circuit, how is the total resistance calculated?","The product of all resistances","The sum of all resistances","The reciprocal of the sum of reciprocals","It remains the same as one resistor","B","Total resistance in a series circuit is the sum of the individual resistances: R_total = R₁ + R₂ + ...","easy"
"Electricity","Series and Parallel Circuits","parallel circuit;current;branches","Eduqas;AQA;OCR;Edexcel","What happens to the total current in a parallel circuit when more branches are added?","It decreases","It stays the same","It increases","It becomes zero","C","Adding more branches in parallel decreases total resistance and increases total current (if voltage is constant).","medium"
"Electricity","Series and Parallel Circuits","parallel circuit;resistance;reciprocal","Eduqas;AQA;OCR;Edexcel","Which formula is used to find total resistance in a parallel circuit?","R_total = R₁ + R₂","R_total = R₁ × R₂","1/R_total = 1/R₁ + 1/R₂ + ...","R_total = V/I","C","In parallel circuits: 1/R_total = 1/R₁ + 1/R₂ + ...","medium"
"Electricity","Series and Parallel Circuits","series;current;same","Eduqas;AQA;OCR;Edexcel","In a series circuit with 3 identical resistors, what is the current through each resistor?","Different for each","Zero","The same through all","Depends on the power supply","C","In a series circuit, the same current flows through all components.","easy"
"Electricity","Series and Parallel Circuits","resistors;parallel;resistance","Eduqas;AQA;OCR;Edexcel","Two resistors, 6 Ω and 3 Ω, are connected in parallel. What is the total resistance?","9 Ω","2 Ω","4 Ω","1.5 Ω","B","1/R_total = 1/6 + 1/3 = 0.5 → R_total = 2 Ω.","hard"
"Electricity","Series and Parallel Circuits","parallel;voltage;constant","Eduqas;AQA;OCR;Edexcel","In a parallel circuit, which quantity is the same across each component?","Current","Resistance","Power","Voltage","D","In parallel circuits, each component experiences the full supply voltage.","easy"
"Electricity","Series and Parallel Circuits","parallel;current;total","Eduqas;AQA;OCR;Edexcel","What is the total current in a parallel circuit with branches carrying 2 A, 3 A, and 1 A?","3 A","5 A","6 A","2 A","C","Total current = sum of branch currents = 2 + 3 + 1 = 6 A.","medium"
"Electricity","Series and Parallel Circuits","series;energy;distribution","Eduqas;AQA;OCR;Edexcel","Which of the following is true about energy loss in a series circuit?","It only occurs in the last resistor","It is greater than in parallel circuits","Each resistor gets the same power","Total energy is divided among components","D","In series circuits, energy is shared among components depending on their resistance.","medium"
"Electricity","Series and Parallel Circuits","series;voltage;equal resistors","Eduqas;AQA;OCR;Edexcel","In a series circuit with a 12 V battery and two equal resistors, what is the voltage across each?","6 V","12 V","0 V","Depends on resistance","A","Voltage divides equally across identical resistors: 12 V / 2 = 6 V each.","easy"
"Electricity","Series and Parallel Circuits","parallel;adding resistor;resistance","Eduqas;AQA;OCR;Edexcel","How does adding a resistor in parallel affect total resistance?","Increases it","Decreases it","No effect","Doubles it","B","Adding resistors in parallel always decreases total resistance.","easy"
