topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Capacitors in Fields,capacitor;dielectric;capacitance,Eduqas;AQA;OCR;Edexcel,What is the effect of placing a dielectric between the plates of a capacitor?,It decreases the capacitance,It increases the capacitance,It has no effect on capacitance,It increases the charge stored for a given voltage,B,A dielectric increases the capacitance by reducing the effective electric field between the plates.,medium
Fields,Capacitors in Fields,electric field;capacitor;voltage,Eduqas;AQA;OCR;Edexcel,What is the relationship between electric field strength and voltage across a parallel-plate capacitor?,E = V × d,E = V/d,E = d/V,E = V + d,B,"Electric field strength E = V/d, where d is the separation between plates.",easy
Fields,Capacitors in Fields,capacitor;dielectric;field strength,Eduqas;AQA;OCR;Edexcel,What happens to the electric field strength in a capacitor when a dielectric is inserted?,It increases,It decreases,It stays the same,It becomes zero,B,A dielectric reduces the effective electric field between the plates.,medium
Fields,Capacitors in Fields,capacitance;unit;farad,Eduqas;AQA;OCR;Edexcel,What is the unit of capacitance?,Farad,Henry,Coulomb,Joule,A,"Capacitance is measured in farads (F), equivalent to coulombs per volt.",easy
Fields,Capacitors in Fields,capacitor;energy;dielectric,Eduqas;AQA;OCR;Edexcel,What happens to the energy stored in a capacitor when a dielectric is inserted and the capacitor remains connected to a battery?,It increases,It decreases,It stays the same,It becomes zero,A,"With constant voltage, inserting a dielectric increases capacitance and hence stored energy (E = ½CV²).",medium
Fields,Capacitors in Fields,capacitor;calculation;field strength,Eduqas;AQA;OCR;Edexcel,A capacitor with 500 V across its plates and 0.02 m spacing has what electric field strength?,"10,000 V/m","25,000 V/m","5,000 V/m","50,000 V/m",B,"E = V/d = 500 / 0.02 = 25,000 V/m.",medium
Fields,Capacitors in Fields,capacitor;area;capacitance,Eduqas;AQA;OCR;Edexcel,What effect does doubling the plate area have on capacitance (assuming separation is constant)?,It halves the capacitance,It doubles the capacitance,No effect,It quadruples the capacitance,B,Capacitance is proportional to plate area: C ∝ A.,easy
Fields,Capacitors in Fields,capacitor;distance;separation,Eduqas;AQA;OCR;Edexcel,What happens to capacitance if the plate separation is halved?,It doubles,It halves,It quadruples,No change,A,Capacitance is inversely proportional to plate separation: C ∝ 1/d.,medium
Fields,Capacitors in Fields,capacitor;charge;calculation,Eduqas;AQA;OCR;Edexcel,"If the charge on a capacitor is 2 μC and the voltage is 10 V, what is the capacitance?",0.2 μF,2 μF,5 μF,20 μF,A,C = Q/V = 2×10⁻⁶ / 10 = 0.2 μF.,medium
Fields,Capacitors in Fields,dielectric;relative permittivity;capacitance,Eduqas;AQA;OCR;Edexcel,Which material property determines a dielectric’s effect on capacitance?,Conductivity,Relative permittivity,Density,Thermal expansion,B,Relative permittivity (εr) determines how much a dielectric increases capacitance.,hard
