"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","Charge, Current, and Time","electric charge;unit;coulomb","Eduqas;AQA;OCR;Edexcel","What is the unit of electric charge?","Ampere","Coulomb","Volt","Ohm","B","The unit of electric charge is the Coulomb (C).","easy"
"Electricity","Charge, Current, and Time","current;definition;charge;time","Eduqas;AQA;OCR;Edexcel","Electric current is defined as:","Charge divided by resistance","Charge per unit time","Voltage times resistance","Number of electrons per Coulomb","B","Current (I) is the rate of flow of charge: I = Q/t.","easy"
"Electricity","Charge, Current, and Time","charge;current;time;calculation","Eduqas;AQA;OCR;Edexcel","A current of 2 A flows for 3 minutes. What is the total charge transferred?","6 C","360 C","180 C","60 C","C","Q = I × t = 2 × 180 = 360 C.","medium"
"Electricity","Charge, Current, and Time","current;charge;time;calculation","Eduqas;AQA;OCR;Edexcel","What is the current when 24 C of charge passes in 4 seconds?","6 A","4 A","12 A","8 A","A","I = Q / t = 24 / 4 = 6 A.","easy"
"Electricity","Charge, Current, and Time","current;charge;transfer","Eduqas;AQA;OCR;Edexcel","If 0.5 A flows for 10 minutes, how much charge is transferred?","300 C","30 C","3 C","0.3 C","A","Q = I × t = 0.5 × 600 = 300 C.","medium"
"Electricity","Charge, Current, and Time","electron;charge;elementary","Eduqas;AQA;OCR;Edexcel","The charge of one electron is approximately:","1.6 × 10⁻¹⁹ C","9.1 × 10⁻³¹ C","1.6 × 10⁻⁶ C","3.2 × 10⁻¹⁹ C","A","The elementary charge is approximately 1.6 × 10⁻¹⁹ C.","medium"
"Electricity","Charge, Current, and Time","conventional current;positive;direction","Eduqas;AQA;OCR;Edexcel","Which of the following best describes conventional current?","Flow of electrons from positive to negative","Flow of charge from negative to positive","Flow of positive charge from positive to negative","No movement of particles","C","Conventional current assumes flow of positive charge from positive to negative terminals.","medium"
"Electricity","Charge, Current, and Time","current;charge;wire","Eduqas;AQA;OCR;Edexcel","A wire carries a steady current of 5 A. How many Coulombs pass in 2 minutes?","600 C","10 C","120 C","300 C","A","Q = I × t = 5 × 120 = 600 C.","easy"
"Electricity","Charge, Current, and Time","conservation;charge;circuit","Eduqas;AQA;OCR;Edexcel","Which quantity is conserved in an electric circuit?","Current","Voltage","Charge","Energy","C","Charge is conserved in electric circuits according to Kirchhoff's First Law.","hard"
"Electricity","Charge, Current, and Time","electron;charge;number of particles","Eduqas;AQA;OCR;Edexcel","An electron beam delivers a total charge of 1.6 × 10⁻⁷ C. How many electrons are delivered?","1.0 × 10¹²","1.6 × 10¹³","10⁶","10⁸","A","Number = total charge / charge of one electron = 1.6×10⁻⁷ / 1.6×10⁻¹⁹ = 1.0 × 10¹².","hardcore"
