topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Materials,Density and Pressure,density;definition;mass;volume,Eduqas;AQA;OCR;Edexcel,What is the correct definition of density?,Mass per unit area,Mass per unit volume,Weight per unit volume,Volume per unit mass,B,Density is defined as mass divided by volume (ρ = m/V).,easy
Materials,Density and Pressure,pressure;units;pascal,Eduqas;AQA;OCR;Edexcel,What is the unit of pressure in the SI system?,Bar,Pascal,N/m,Joule,B,"The SI unit of pressure is the Pascal (Pa), which is equivalent to N/m².",easy
Materials,Density and Pressure,pressure;fluid;depth;equation,Eduqas;AQA;OCR;Edexcel,What is the pressure at a depth h in a fluid of density ρ under gravity g?,ρgh,ρg/h,gh/ρ,ρh/g,A,Pressure in a fluid at depth is given by P = ρgh.,medium
Materials,Density and Pressure,pressure;units;SI base units,Eduqas;AQA;OCR;Edexcel,Which combination of SI base units is equivalent to the Pascal (Pa)?,kg/m,kg·m/s²,kg/(m·s²),m/s²,C,1 Pa = 1 N/m² = kg/(m·s²).,hard
Materials,Density and Pressure,pressure;fluid;depth;relationship,Eduqas;AQA;OCR;Edexcel,What happens to the pressure in a fluid if the depth is doubled?,It halves,It stays the same,It doubles,It increases fourfold,C,"Since pressure P = ρgh, doubling h will double the pressure.",easy
Materials,Density and Pressure,density;calculation;mass;volume,Eduqas;AQA;OCR;Edexcel,A cube of volume 0.01 m³ has a mass of 2 kg. What is its density?,200 kg/m³,20 kg/m³,0.02 kg/m³,2 kg/m³,A,Density = mass / volume = 2 / 0.01 = 200 kg/m³.,medium
Materials,Density and Pressure,density;buoyancy;floating,Eduqas;AQA;OCR;Edexcel,What physical property determines whether an object floats in water?,Viscosity,Elasticity,Density,Volume,C,An object will float if its density is less than that of water.,easy
Materials,Density and Pressure,pressure;fluid;buoyant force,Eduqas;AQA;OCR;Edexcel,"If pressure in a fluid increases with depth, what kind of force does this create?",Upward force,Downward force,Frictional force,Magnetic force,A,The pressure difference creates a net upward force — the buoyant force.,medium
Materials,Density and Pressure,pressure;factors;container,Eduqas;AQA;OCR;Edexcel,What factor does NOT affect the pressure at a certain depth in a fluid?,Fluid density,Depth,Gravitational field strength,Shape of the container,D,"Pressure at a given depth depends only on ρ, g, and h — not container shape.",medium
Materials,Density and Pressure,pressure;force;area;calculation,Eduqas;AQA;OCR;Edexcel,What is the pressure exerted by a 500 N force on an area of 0.25 m²?,"2,000 Pa",125 Pa,250 Pa,"20,000 Pa",A,"P = F/A = 500 / 0.25 = 2,000 Pa.",medium
