topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Mechanics,Scalars and Vectors,scalar;speed;quantity type,Eduqas;AQA;OCR;Edexcel,Which of the following is a scalar quantity?,Displacement,Velocity,Acceleration,Speed,D,"Speed is a scalar because it only has magnitude, not direction.",easy
Mechanics,Scalars and Vectors,vector;force;magnitude and direction,Eduqas;AQA;OCR;Edexcel,Which quantity has both magnitude and direction?,Time,Mass,Force,Temperature,C,Force is a vector; it includes both magnitude and direction.,easy
Mechanics,Scalars and Vectors,scalar;distance;vector,Eduqas;AQA;OCR;Edexcel,Which of the following is NOT a vector quantity?,Acceleration,Velocity,Distance,Displacement,C,"Distance is a scalar as it has magnitude only, not direction.",medium
Mechanics,Scalars and Vectors,resultant;vector addition;perpendicular,Eduqas;AQA;OCR;Edexcel,What is the resultant of two perpendicular vectors of 3 N and 4 N?,5 N,1 N,7 N,3.5 N,A,Using Pythagoras: √(3² + 4²) = 5 N.,medium
Mechanics,Scalars and Vectors,resultant force;vector addition;right angle,Eduqas;AQA;OCR;Edexcel,"Two forces, 5 N and 12 N, act at right angles. What is the magnitude of the resultant force?",13 N,17 N,7 N,10 N,A,Resultant = √(5² + 12²) = √169 = 13 N.,hard
Mechanics,Scalars and Vectors,vector angle;resultant;cos rule,Eduqas;AQA;OCR;Edexcel,What is the angle between two equal vectors when their resultant is equal to one of them?,0°,45°,60°,120°,D,"From vector triangle, cos(θ) = -1/2 → θ = 120°.",hardcore
Mechanics,Scalars and Vectors,vector addition;parallelogram;graphical method,Eduqas;AQA;OCR;Edexcel,Which method is commonly used to add vectors graphically?,Scalar multiplication,Trapezium rule,Parallelogram rule,Subtraction rule,C,The parallelogram rule is used to determine the resultant of two vectors.,medium
Mechanics,Scalars and Vectors,vector components;resolution;perpendicular,Eduqas;AQA;OCR;Edexcel,A vector of magnitude 10 N is resolved into two perpendicular components: 6 N and ___.,4 N,8 N,6 N,10 N,A,Using Pythagoras: √(10² - 6²) = √64 = 8 N.,hard
Mechanics,Scalars and Vectors,scalar;direction;definition,Eduqas;AQA;OCR;Edexcel,Which of the following is true about scalar quantities?,They can be added using the parallelogram method,They always change with direction,They are unaffected by direction,They have both magnitude and direction,C,Scalars are only affected by magnitude and not direction.,easy
Mechanics,Scalars and Vectors,vector;acceleration;force,Eduqas;AQA;OCR;Edexcel,Which pair includes only vector quantities?,Speed and velocity,Acceleration and force,Displacement and time,Power and momentum,B,Both acceleration and force are vector quantities.,medium
