topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Alternating Currents,alternating current;ac;definition,Eduqas;AQA;OCR;Edexcel,What is meant by alternating current (AC)?,Current that flows in one direction only,Current that reverses direction periodically,Voltage that remains constant,Current that flows in a vacuum,B,"AC is an electric current that reverses direction periodically, unlike DC which flows in one direction.",easy
Fields,Alternating Currents,ac;voltage;rms;peak,Eduqas;AQA;OCR;Edexcel,What is the peak voltage of an AC signal with a root mean square (rms) voltage of 230 V?,115 V,460 V,325 V,160 V,C,Peak voltage = Vrms × √2 = 230 × 1.414 ≈ 325 V.,medium
Fields,Alternating Currents,ac;rms;peak;voltage,Eduqas;AQA;OCR;Edexcel,Which equation relates rms voltage to peak voltage?,Vrms = Vpeak × 2,Vrms = Vpeak / √2,Vrms = Vpeak × √2,Vrms = Vpeak²,B,Vrms = Vpeak / √2 — this is the standard formula for sinusoidal AC.,medium
Fields,Alternating Currents,ac;uk mains;frequency,Eduqas;AQA;OCR;Edexcel,What is the frequency of the UK mains supply?,50 Hz,60 Hz,100 Hz,230 Hz,A,The standard frequency of the AC mains supply in the UK is 50 Hz.,easy
Fields,Alternating Currents,angular frequency;unit;ac,Eduqas;AQA;OCR;Edexcel,What is the unit of angular frequency (ω) in AC calculations?,Hz,rad/s,V,s⁻²,B,Angular frequency is measured in radians per second (rad/s).,easy
Fields,Alternating Currents,ac;power;resistive circuit,Eduqas;AQA;OCR;Edexcel,How does power vary in a purely resistive AC circuit?,It remains constant,It oscillates at the same frequency as voltage,It only depends on current,It increases exponentially,B,"In a resistive AC circuit, power oscillates with the same frequency as the AC voltage.",medium
Fields,Alternating Currents,ac;power;average;rms,Eduqas;AQA;OCR;Edexcel,What is the average power delivered by an AC source?,P = Ipeak × Vpeak,P = Irms × Vrms,P = I² × R,P = V² / R,B,"For AC, average power is calculated using rms values: P = Irms × Vrms.",medium
Fields,Alternating Currents,ac;waveform;sinusoidal,Eduqas;AQA;OCR;Edexcel,What is the shape of an ideal AC voltage-time graph?,Square,Triangular,Sinusoidal,Exponential,C,An ideal AC waveform is sinusoidal.,easy
Fields,Alternating Currents,ac;frequency;period;calculation,Eduqas;AQA;OCR;Edexcel,An AC current has a frequency of 50 Hz. What is its period?,0.02 s,0.5 s,2 s,0.002 s,A,T = 1/f = 1/50 = 0.02 seconds.,easy
Fields,Alternating Currents,ac;rms;dc equivalent;power,Eduqas;AQA;OCR;Edexcel,Why are rms values used in AC calculations?,They are easier to measure,They represent maximum values,They give equivalent DC power,They only apply to DC circuits,C,RMS values are used because they represent the equivalent DC value that would deliver the same power.,medium
