"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","Kirchhoff’s Laws","Kirchhoff's First Law;current;junction","Eduqas;AQA;OCR;Edexcel","What does Kirchhoff’s First Law state?","The total voltage around a loop is zero","The sum of EMFs equals the sum of potential drops","The total current entering a junction equals the total current leaving","The resistance in a series circuit is constant","C","Kirchhoff’s First Law states that the total current entering a junction is equal to the total current leaving it (conservation of charge).","easy"
"Electricity","Kirchhoff’s Laws","Kirchhoff's Second Law;energy;conservation","Eduqas;AQA;OCR;Edexcel","Kirchhoff’s Second Law is based on which conservation principle?","Conservation of charge","Conservation of mass","Conservation of energy","Conservation of momentum","C","Kirchhoff’s Second Law is derived from the conservation of energy.","medium"
"Electricity","Kirchhoff’s Laws","Kirchhoff's Second Law;voltage loop","Eduqas;AQA;OCR;Edexcel","In a closed loop, the algebraic sum of all voltages is:","Equal to the total resistance","Always positive","Equal to zero","Equal to current times resistance","C","Kirchhoff’s Second Law states that the sum of EMFs and potential differences in a loop equals zero.","easy"
"Electricity","Kirchhoff’s Laws","current;Kirchhoff's First Law;junction","Eduqas;AQA;OCR;Edexcel","At a junction, if 3 A flows in and 1 A flows out one branch and 0.5 A in another, what is the current in the remaining branch?","0.5 A in","1.5 A out","1.5 A in","1 A in","B","3 A in = 1 A + 0.5 A + x → x = 1.5 A out.","medium"
"Electricity","Kirchhoff’s Laws","Kirchhoff;loop;voltage drop","Eduqas;AQA;OCR;Edexcel","In a circuit loop with a 12 V battery and resistors dropping 5 V and 4 V, what is the remaining voltage drop?","3 V","1 V","7 V","12 V","A","Total voltage drops must equal the EMF: 5 + 4 + x = 12 → x = 3 V.","medium"
"Electricity","Kirchhoff’s Laws","Kirchhoff's Laws;validity;conditions","Eduqas;AQA;OCR;Edexcel","What is required for Kirchhoff’s Laws to be valid?","Changing magnetic fields","Non-conservative systems","Conservation of charge and energy","Constant temperature","C","Kirchhoff’s Laws are based on the conservation of charge and energy.","hard"
"Electricity","Kirchhoff’s Laws","Kirchhoff's First Law;application;example","Eduqas;AQA;OCR;Edexcel","Which of the following is a correct application of Kirchhoff’s First Law?","2 A entering a junction and 3 A leaving","4 A entering and 2 A + 2 A leaving","1 A entering and 2 A leaving","3 A entering and 3 A entering again","B","Current in = current out: 4 A = 2 A + 2 A.","easy"
"Electricity","Kirchhoff’s Laws","Kirchhoff;voltage;series circuit","Eduqas;AQA;OCR;Edexcel","If two resistors in series drop 6 V and 9 V respectively, what is the battery voltage?","3 V","15 V","6 V","9 V","B","Battery voltage = sum of potential drops = 6 + 9 = 15 V.","easy"
"Electricity","Kirchhoff’s Laws","Kirchhoff's Laws;applications;analysis","Eduqas;AQA;OCR;Edexcel","In a complex circuit, Kirchhoff’s Laws allow you to:","Measure resistance directly","Determine unknown currents and voltages","Remove all resistors","Convert AC to DC","B","Kirchhoff’s Laws help analyze circuits by solving for unknown currents and voltages.","medium"
"Electricity","Kirchhoff’s Laws","Kirchhoff;error;voltage balance","Eduqas;AQA;OCR;Edexcel","In a loop, if EMFs sum to 20 V and total voltage drops are 22 V, what does this indicate?","Power is gained","Incorrect loop direction or assumption","Circuit is in equilibrium","Resistance is negative","B","According to Kirchhoff’s Second Law, EMFs = total drops. If not, an assumption (e.g., current direction) may be incorrect.","hard"
