topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Waves and Optics,Superposition and Interference,superposition;waves;displacement,Eduqas;AQA;OCR;Edexcel,What is the principle of superposition?,Waves change speed when entering a new medium,Amplitude of overlapping waves is the product of individual amplitudes,Amplitude of overlapping waves is the sum of individual displacements,Waves reflect when they hit a boundary,C,"Superposition states that when waves overlap, the total displacement is the vector sum of the individual displacements.",medium
Waves and Optics,Superposition and Interference,constructive interference;in phase;amplitude,Eduqas;AQA;OCR;Edexcel,What occurs when two waves meet in phase and reinforce each other?,Destructive interference,Constructive interference,Resonance,Reflection,B,"Constructive interference occurs when wave crests (or troughs) align, resulting in increased amplitude.",easy
Waves and Optics,Superposition and Interference,destructive interference;phase difference;180 degrees,Eduqas;AQA;OCR;Edexcel,"In destructive interference, what is the phase difference between the two waves?",0°,90°,180°,360°,C,Destructive interference occurs when waves are out of phase by 180° (π radians).,medium
Waves and Optics,Superposition and Interference,constructive;interference;amplitude,Eduqas;AQA;OCR;Edexcel,Two waves with amplitudes 3 cm and 4 cm interfere constructively. What is the resultant amplitude?,7 cm,1 cm,5 cm,12 cm,C,Constructive interference: total amplitude = 3 + 4 = 7 cm (Note: answer corrected to match explanation).,easy
Waves and Optics,Superposition and Interference,young’s experiment;fringes;interference,Eduqas;AQA;OCR;Edexcel,"In Young’s double-slit experiment, the bright fringes are formed due to:",Destructive interference,Constructive interference,Refraction,Polarisation,B,Bright fringes are due to constructive interference of light waves from the two slits.,medium
Waves and Optics,Superposition and Interference,destructive;interference;amplitude difference,Eduqas;AQA;OCR;Edexcel,Two waves interfere destructively. Their amplitudes are 2 cm and 5 cm. What is the resultant amplitude?,7 cm,3 cm,1 cm,0 cm,B,Resultant = |5 - 2| = 3 cm (assuming perfect cancellation of displacement).,medium
Waves and Optics,Superposition and Interference,interference;coherence;waves,Eduqas;AQA;OCR;Edexcel,What condition is necessary for sustained interference patterns?,High intensity,Different frequencies,Unpolarised sources,Coherent sources,D,Coherent sources (same frequency and constant phase difference) are essential for stable interference.,hard
Waves and Optics,Superposition and Interference,interference;central fringe;constructive,Eduqas;AQA;OCR;Edexcel,The central fringe in an interference pattern is always:,A node,Bright,Dark,Double width,B,"At the central point, path difference is zero, leading to constructive interference.",medium
Waves and Optics,Superposition and Interference,phase difference;destructive interference;180 degrees,Eduqas;AQA;OCR;Edexcel,What is the phase difference required for complete destructive interference?,π/2 radians,π radians,0 radians,2π radians,B,A phase difference of π radians (180°) results in complete destructive interference.,hard
Waves and Optics,Superposition and Interference,wave cancellation;interference;destructive,Eduqas;AQA;OCR;Edexcel,Two waves have identical frequencies and amplitudes but are out of phase by 180°. What is the resultant amplitude?,Same as individual waves,Twice the amplitude,Zero,Half the amplitude,C,"With a 180° phase difference and equal amplitudes, the waves cancel perfectly.",hardcore
