topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Temperature and Thermometers,thermometers;temperature;resistance,Eduqas;AQA;OCR;Edexcel,Which of the following is a physical property used in thermometers to measure temperature?,Colour,Mass,Density,Electrical resistance,D,"Temperature can be measured using physical properties like electrical resistance, which changes with temperature.",medium
Thermal Physics,Temperature and Thermometers,celsius scale;fixed points;freezing point,Eduqas;AQA;OCR;Edexcel,What is the fixed point on the Celsius scale that corresponds to 0 °C?,Boiling point of water,Triple point of water,Freezing point of water,Absolute zero,C,0 °C is defined as the freezing point of pure water at standard atmospheric pressure.,easy
Thermal Physics,Temperature and Thermometers,kelvin scale;absolute zero;temperature,Eduqas;AQA;OCR;Edexcel,Which temperature scale is based on absolute zero?,Celsius,Fahrenheit,Kelvin,Rankine,C,"The Kelvin scale starts at absolute zero, the theoretical point where particles have minimal kinetic energy.",easy
Thermal Physics,Temperature and Thermometers,temperature conversion;celsius to kelvin,Eduqas;AQA;OCR;Edexcel,Convert a temperature of 27 °C to Kelvin.,273 K,300 K,246 K,327 K,B,K = °C + 273 → 27 + 273 = 300 K.,easy
Thermal Physics,Temperature and Thermometers,mercury;thermometer;thermal expansion,Eduqas;AQA;OCR;Edexcel,Which property makes mercury suitable for use in thermometers?,Poor thermal conductivity,High specific heat capacity,Visible colour change,Uniform expansion with temperature,D,"Mercury expands uniformly with temperature, making it ideal for thermometers.",medium
Thermal Physics,Temperature and Thermometers,absolute zero;celsius;temperature scale,Eduqas;AQA;OCR;Edexcel,At what temperature does absolute zero occur on the Celsius scale?,-100 °C,-273 °C,0 °C,-273.15 °C,D,"Absolute zero is -273.15 °C, where kinetic energy of particles is minimal.",medium
Thermal Physics,Temperature and Thermometers,thermocouple;low temperature;measurement,Eduqas;AQA;OCR;Edexcel,Which thermometer is best for measuring very low temperatures near absolute zero?,Mercury thermometer,Alcohol thermometer,Thermocouple,Infrared thermometer,C,"Thermocouples are suitable for measuring a wide range of temperatures, including cryogenic.",hard
Thermal Physics,Temperature and Thermometers,gas thermometer;temperature measurement;expansion,Eduqas;AQA;OCR;Edexcel,A thermometer uses the expansion of a gas to measure temperature. What type of thermometer is this?,Mercury-in-glass,Gas thermometer,Resistance thermometer,Thermocouple,B,Gas thermometers measure temperature by detecting changes in gas pressure or volume.,medium
Thermal Physics,Temperature and Thermometers,kelvin scale;scientific use;absolute zero,Eduqas;AQA;OCR;Edexcel,Why is the Kelvin scale preferred in scientific calculations?,It includes negative values,It aligns with human perception,It starts at absolute zero,It uses water's boiling point as 0,C,Kelvin starts at absolute zero and is directly proportional to average kinetic energy of particles.,easy
Thermal Physics,Temperature and Thermometers,resistance thermometer;temperature calculation,Eduqas;AQA;OCR;Edexcel,"A platinum resistance thermometer shows 15.3 Ω at 0 °C and 20.4 Ω at 100 °C. If its resistance is 18.6 Ω, estimate the temperature.",70 °C,60 °C,80 °C,90 °C,B,T = [(18.6 - 15.3)/(20.4 - 15.3)] × 100 = (3.3 / 5.1) × 100 ≈ 64.7 ≈ 60 °C.,hardcore
