"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Mechanics","Work, Energy and Power","work done;equation;Fd cosθ","Eduqas;AQA;OCR;Edexcel","What is the equation for work done?","W = Fd","W = Fd cosθ","W = mv²","W = mg","B","Work done W = Fd cosθ, where θ is the angle between force and displacement.","medium"
"Mechanics","Work, Energy and Power","work;unit;joule","Eduqas;AQA;OCR;Edexcel","Which of the following is the unit of work?","Watt","Newton","Joule","Pascal","C","The SI unit of work is the Joule (J).","easy"
"Mechanics","Work, Energy and Power","kinetic energy;calculation;½mv²","Eduqas;AQA;OCR;Edexcel","What is the kinetic energy of a 2 kg object moving at 3 m/s?","3 J","6 J","9 J","18 J","C","KE = ½mv² = 0.5 × 2 × 9 = 9 J.","easy"
"Mechanics","Work, Energy and Power","power;definition;rate of work","Eduqas;AQA;OCR;Edexcel","Which of the following correctly defines power?","Force per unit time","Energy per unit force","Work done per unit time","Acceleration per unit time","C","Power is the rate at which work is done, i.e., P = W/t.","medium"
"Mechanics","Work, Energy and Power","power;calculation;work","Eduqas;AQA;OCR;Edexcel","A machine does 600 J of work in 10 seconds. What is its power output?","60 W","6 W","600 W","120 W","A","Power = Work / Time = 600 / 10 = 60 W.","easy"
"Mechanics","Work, Energy and Power","potential energy;GPE;mgh","Eduqas;AQA;OCR;Edexcel","What is the gravitational potential energy of a 5 kg object raised 3 m above the ground? (g = 9.8 m/s²)","147 J","15 J","49 J","90 J","A","GPE = mgh = 5 × 9.8 × 3 = 147 J.","medium"
"Mechanics","Work, Energy and Power","work;angle;perpendicular","Eduqas;AQA;OCR;Edexcel","If a force acts perpendicular to displacement, what is the work done?","Maximum","Zero","Infinite","Negative","B","Work = Fd cosθ. If θ = 90°, cosθ = 0, so W = 0.","medium"
"Mechanics","Work, Energy and Power","energy;power;time;calculation","Eduqas;AQA;OCR;Edexcel","What is the energy transferred when a 60 W bulb operates for 2 minutes?","7200 J","120 J","600 J","720 J","A","Energy = Power × Time = 60 × 120 = 7200 J.","hard"
"Mechanics","Work, Energy and Power","work;power;lifting;calculation","Eduqas;AQA;OCR;Edexcel","A student lifts a 10 kg weight to a height of 2 m in 5 seconds. What is the average power output? (g = 9.8 m/s²)","39.2 W","19.6 W","9.8 W","49 W","A","Work = mgh = 10 × 9.8 × 2 = 196 J; Power = 196 / 5 = 39.2 W.","hard"
"Mechanics","Work, Energy and Power","energy conservation;mechanical energy;frictionless","Eduqas;AQA;OCR;Edexcel","Which of the following quantities is conserved in the absence of friction?","Kinetic energy","Potential energy","Mechanical energy","Power","C","In a frictionless system, mechanical energy (KE + PE) is conserved.","medium"
