topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Waves and Optics,Total Internal Reflection and Optical Fibres,total internal reflection;conditions;critical angle,Eduqas;AQA;OCR;Edexcel,What condition must be met for total internal reflection to occur?,The wave must travel from a less dense to a more dense medium,The angle of incidence must be less than the critical angle,The wave must travel from a more dense to a less dense medium and the angle of incidence must exceed the critical angle,There must be no difference in refractive index,C,TIR occurs when light travels from a denser to a less dense medium and hits the boundary at an angle greater than the critical angle.,medium
Waves and Optics,Total Internal Reflection and Optical Fibres,critical angle;glass to air;snell’s law,Eduqas;AQA;OCR;Edexcel,What is the critical angle for glass (n = 1.5) to air (n = 1.0)?,30°,42°,45°,60°,B,sin(c) = n₂ / n₁ = 1.0 / 1.5 = 0.666 → c ≈ 42°.,hard
Waves and Optics,Total Internal Reflection and Optical Fibres,optical fibre;total internal reflection;light transmission,Eduqas;AQA;OCR;Edexcel,Which optical phenomenon allows light to travel through an optical fibre?,Refraction,Diffraction,Polarisation,Total internal reflection,D,"Light reflects internally in fibres via total internal reflection, keeping it guided.",easy
Waves and Optics,Total Internal Reflection and Optical Fibres,cladding;optical fibres;TIR,Eduqas;AQA;OCR;Edexcel,What is the role of cladding in an optical fibre?,Increases refractive index,Enhances signal strength,Reduces modal dispersion,Prevents light escaping by ensuring TIR,D,"Cladding has a lower refractive index than the core, ensuring total internal reflection.",medium
Waves and Optics,Total Internal Reflection and Optical Fibres,critical angle;refraction;boundary,Eduqas;AQA;OCR;Edexcel,What happens when the angle of incidence equals the critical angle?,All light is reflected,No refraction occurs,The refracted ray travels along the boundary,The angle of refraction is greater than incidence,C,"At the critical angle, the refracted ray travels exactly along the boundary.",medium
Waves and Optics,Total Internal Reflection and Optical Fibres,optical fibre;step-index;refractive index,Eduqas;AQA;OCR;Edexcel,"In a step-index optical fibre, the core must have:",A higher refractive index than cladding,A lower refractive index than cladding,The same refractive index as cladding,No refractive index,A,Total internal reflection requires core refractive index > cladding refractive index.,medium
Waves and Optics,Total Internal Reflection and Optical Fibres,critical angle;index calculation;refraction,Eduqas;AQA;OCR;Edexcel,Calculate the critical angle for a medium with refractive index 1.33 into air (n = 1.00).,41.8°,48.8°,60.0°,75.4°,B,sin(c) = 1/1.33 ≈ 0.751 → c ≈ 48.8°.,hard
Waves and Optics,Total Internal Reflection and Optical Fibres,modal dispersion;optical fibre;path length,Eduqas;AQA;OCR;Edexcel,What is modal dispersion in optical fibres?,Scattering of light at bends,Loss of energy through cladding,Different rays taking different paths and arriving at different times,Variation in light frequency,C,Modal dispersion occurs because light rays travel different distances within the core.,hard
Waves and Optics,Total Internal Reflection and Optical Fibres,modal dispersion;single mode;optical fibre,Eduqas;AQA;OCR;Edexcel,Which type of fibre reduces modal dispersion?,Single-mode fibre,Step-index fibre,Multimode fibre,Broadband fibre,A,"Single-mode fibres allow only one path for light, minimising modal dispersion.",hardcore
Waves and Optics,Total Internal Reflection and Optical Fibres,optical fibre;advantages;EM interference,Eduqas;AQA;OCR;Edexcel,Which of the following is an advantage of optical fibres over copper wires?,Lower data capacity,More signal loss,Immunity to electromagnetic interference,Higher electrical conductivity,C,Optical fibres transmit light and are not affected by EM interference.,medium
