topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Waves and Optics,Refraction and Snell’s Law,refraction;wave speed;boundary,Eduqas;AQA;OCR;Edexcel,What causes refraction of a wave?,Reflection at a boundary,Absorption of energy,Change in wave speed between two media,Interference with another wave,C,Refraction occurs due to a change in wave speed as it moves from one medium to another.,easy
Waves and Optics,Refraction and Snell’s Law,snell's law;refraction;refractive index,Eduqas;AQA;OCR;Edexcel,Which law is used to calculate the angle of refraction?,Hooke’s Law,Snell’s Law,Newton’s Second Law,Boyle’s Law,B,Snell’s Law relates the angle of incidence and refraction with the refractive indices of the media.,easy
Waves and Optics,Refraction and Snell’s Law,snell's law;calculation;angle of refraction,Eduqas;AQA;OCR;Edexcel,A ray enters glass from air at 30°. The refractive index of glass is 1.5. What is the angle of refraction?,19.5°,25.0°,30.0°,41.8°,A,Use Snell’s Law: sin(r) = sin(30°) / 1.5 ≈ 0.333 → r ≈ 19.5°.,hard
Waves and Optics,Refraction and Snell’s Law,refractive index;speed of light;calculation,Eduqas;AQA;OCR;Edexcel,What is the refractive index of a material in which light travels at 2.00×10⁸ m/s?,1.0,1.33,1.5,1.67,D,n = c / v = 3.00×10⁸ / 2.00×10⁸ = 1.5.,medium
Waves and Optics,Refraction and Snell’s Law,refraction;wave direction;normal,Eduqas;AQA;OCR;Edexcel,"If a wave slows down when entering a new medium, it will:",Bend away from the normal,Not change direction,Bend toward the normal,Disappear,C,"When a wave slows, it bends toward the normal due to reduced speed.",medium
Waves and Optics,Refraction and Snell’s Law,snell's law;refractive index;angles,Eduqas;AQA;OCR;Edexcel,Snell’s Law can be written as:,n₁n₂ = sinθ₁ / sinθ₂,n = c / v,n₁sinθ₁ = n₂sinθ₂,v = fλ,C,Snell’s Law is n₁sinθ₁ = n₂sinθ₂.,easy
Waves and Optics,Refraction and Snell’s Law,refraction;types of waves;medium,Eduqas;AQA;OCR;Edexcel,Which type of wave undergoes refraction?,Sound,Light,Water,All of the above,D,Any wave that passes from one medium to another may undergo refraction.,easy
Waves and Optics,Refraction and Snell’s Law,light speed;media;refraction,Eduqas;AQA;OCR;Edexcel,In which medium does light travel slowest?,Air,Water,Glass,Vacuum,C,Light travels slower in denser media; glass is denser than water or air.,medium
Waves and Optics,Refraction and Snell’s Law,wavelength;refraction;medium,Eduqas;AQA;OCR;Edexcel,What happens to the wavelength of light as it enters a denser medium?,Increases,Remains constant,Decreases,Becomes infinite,C,"Speed decreases and frequency remains constant, so wavelength decreases.",hard
Waves and Optics,Refraction and Snell’s Law,snell’s law;water;angle calculation,Eduqas;AQA;OCR;Edexcel,"If n = 1.33 for water and the angle of incidence is 45°, what is the angle of refraction?",28.1°,32.1°,45.0°,38.7°,B,sin(r) = sin(45°)/1.33 ≈ 0.544 → r ≈ 32.1°.,hardcore
