topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Electric Fields and Coulomb’s Law,electric field;radial;point charge,Eduqas;AQA;OCR;Edexcel,What is the shape of the electric field around a point charge?,Circular,Radial,Linear,Tangential,B,"The electric field around a point charge is radial, pointing away from positive charges and toward negative ones.",easy
Fields,Electric Fields and Coulomb’s Law,coulomb's law;electrostatic;point charges,Eduqas;AQA;OCR;Edexcel,What does Coulomb’s Law describe?,The force between masses,The energy stored in a capacitor,The force between two point charges,The power dissipated in a resistor,C,Coulomb’s Law gives the electrostatic force between two point charges: F = kq₁q₂ / r².,easy
Fields,Electric Fields and Coulomb’s Law,electric field;units;strength,Eduqas;AQA;OCR;Edexcel,What is the unit of electric field strength?,V,V/m,N,N·m,B,"Electric field strength is measured in volts per meter (V/m), or equivalently N/C.",easy
Fields,Electric Fields and Coulomb’s Law,force;direction;coulomb;charges,Eduqas;AQA;OCR;Edexcel,Two charges +3 μC and -2 μC are separated by 0.1 m. What is the direction of the force on the +3 μC charge?,Toward the -2 μC charge,Away from the -2 μC charge,Perpendicular to the line between charges,There is no force,A,"Opposite charges attract, so the +3 μC charge is pulled toward the -2 μC charge.",medium
Fields,Electric Fields and Coulomb’s Law,electric field;point charge;formula,Eduqas;AQA;OCR;Edexcel,What is the formula for electric field strength due to a point charge?,E = kq/r²,E = qV,E = F/q,E = V/d,A,"Electric field strength due to a point charge is E = kq/r², where k is Coulomb’s constant.",medium
Fields,Electric Fields and Coulomb’s Law,electric field;motion;trajectory,Eduqas;AQA;OCR;Edexcel,"In a uniform electric field, what is the path of a charged particle entering perpendicular to the field?",Straight line,Circular,Parabolic,Helical,C,"The particle accelerates uniformly in the field direction, resulting in a parabolic path (like projectile motion).",medium
Fields,Electric Fields and Coulomb’s Law,electric field;parallel plates;calculation,Eduqas;AQA;OCR;Edexcel,What is the electric field strength between two parallel plates with 500 V across 0.1 m?,50 V/m,5000 V/m,5 V/m,0.2 V/m,B,E = V/d = 500 / 0.1 = 5000 V/m.,medium
Fields,Electric Fields and Coulomb’s Law,coulomb;distance;force,Eduqas;AQA;OCR;Edexcel,Which of the following affects the magnitude of the electrostatic force between two charges?,Mass of the charges,Distance between charges,Temperature of the medium,Time of exposure,B,Coulomb’s Law shows force is inversely proportional to the square of the separation between charges.,easy
Fields,Electric Fields and Coulomb’s Law,electric field;distance;inverse square,Eduqas;AQA;OCR;Edexcel,What happens to the electric field strength as you move away from a point charge?,It increases,It remains constant,It decreases with 1/r,It decreases with 1/r²,D,"Electric field strength E = kq/r², so it decreases with the square of the distance.",easy
Fields,Electric Fields and Coulomb’s Law,electrostatic;force;distance;charges,Eduqas;AQA;OCR;Edexcel,"If two like charges are brought closer together, what happens to the electrostatic force between them?",It decreases,It remains the same,It becomes attractive,It increases,D,"According to Coulomb’s Law, force increases as distance decreases.",medium
