topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark matter;gravity;galaxies,Eduqas;AQA;OCR;Edexcel,What is dark matter believed to be responsible for?,Emitting large amounts of radiation,Accelerating the expansion of the universe,Excess gravitational effects not explained by visible matter,Slowing down cosmic expansion,C,Dark matter explains gravitational effects in galaxies and clusters that visible matter alone cannot account for.,medium
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark energy;expansion;acceleration,Eduqas;AQA;OCR;Edexcel,What is dark energy thought to cause?,The collapse of stars,The slowing of the expansion of the universe,The acceleration of the universe’s expansion,The rotation of galaxies,C,Dark energy is the name given to the unknown force causing the accelerating expansion of the universe.,medium
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark matter;invisible;observation,Eduqas;AQA;OCR;Edexcel,Why can't we directly observe dark matter?,It is transparent to all forms of radiation,It is found only outside the observable universe,It travels faster than light,It emits only microwave radiation,A,"Dark matter does not emit, absorb, or reflect light, making it invisible to current instruments.",easy
Astrophysics and Cosmology,Dark Matter and Dark Energy,galaxy rotation;dark matter;evidence,Eduqas;AQA;OCR;Edexcel,Which observational evidence supports the existence of dark matter?,Redshift of distant galaxies,Microwave background radiation,Flat rotation curves of galaxies,Spectral lines in starlight,C,Galaxies rotate faster than expected based on visible mass alone; dark matter explains this discrepancy.,medium
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark energy;repulsive force;expansion,Eduqas;AQA;OCR;Edexcel,Which of the following best describes dark energy?,A type of invisible gas,A repulsive force acting on large cosmic scales,A form of high-energy radiation,Residual energy from the Big Bang,B,Dark energy is a hypothetical force causing the acceleration of the universe’s expansion.,medium
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark energy;percentage;cosmic composition,Eduqas;AQA;OCR;Edexcel,What proportion of the universe is made up of dark energy (as currently estimated)?,5%,27%,68%,95%,C,Dark energy is believed to make up about 68% of the total energy content of the universe.,easy
Astrophysics and Cosmology,Dark Matter and Dark Energy,dark matter;percentage;universe,Eduqas;AQA;OCR;Edexcel,"Which proportion of the universe is composed of dark matter, according to current models?",5%,23%,27%,68%,C,Dark matter is thought to constitute about 27% of the universe.,easy
Astrophysics and Cosmology,Dark Matter and Dark Energy,detection;dark matter;rotation curves,Eduqas;AQA;OCR;Edexcel,Which method is commonly used to detect the effects of dark matter?,Measuring temperature of stars,Studying rotation curves of galaxies,Analyzing chemical composition of dust clouds,Observing pulsar timings,B,"Flat galaxy rotation curves suggest the presence of unseen mass, attributed to dark matter.",medium
Astrophysics and Cosmology,Dark Matter and Dark Energy,supernovae;dark energy;acceleration,Eduqas;AQA;OCR;Edexcel,Which type of observations revealed the universe's accelerated expansion?,Gamma-ray bursts,Supernova brightness at different redshifts,Radio emissions from galaxies,Rotation of pulsars,B,"Type Ia supernovae showed the universe's expansion is accelerating, leading to the idea of dark energy.",hard
Astrophysics and Cosmology,Dark Matter and Dark Energy,baryonic matter;universe;normal matter,Eduqas;AQA;OCR;Edexcel,What is the total percentage of the universe made up of normal (baryonic) matter?,5%,23%,27%,50%,A,Baryonic matter makes up only about 5% of the universe — everything we see and touch.,easy
