"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Mechanics","Conservation of Energy","conservation of energy;principle;transformation","Eduqas;AQA;OCR;Edexcel","What does the principle of conservation of energy state?","Energy is created and destroyed in a closed system","Energy can only be transferred between heat and sound","Energy cannot be created or destroyed, only transformed or transferred","Energy increases in every interaction","C","The conservation of energy principle states that total energy in a closed system remains constant.","easy"
"Mechanics","Conservation of Energy","rollercoaster;kinetic energy;conversion","Eduqas;AQA;OCR;Edexcel","In a frictionless rollercoaster, what happens to kinetic energy at the lowest point?","It is zero","It is at its maximum","It equals the potential energy","It is negative","B","At the lowest point, potential energy is minimum and kinetic energy is maximum.","easy"
"Mechanics","Conservation of Energy","kinetic energy;gravitational;conversion","Eduqas;AQA;OCR;Edexcel","A 2 kg object falls 5 m. What is the kinetic energy just before impact? (g = 9.8 m/s²)","49 J","98 J","19.6 J","100 J","B","GPE = mgh = 2 × 9.8 × 5 = 98 J. In absence of friction, KE = GPE.","medium"
"Mechanics","Conservation of Energy","mechanical energy;conservation;frictionless","Eduqas;AQA;OCR;Edexcel","If no energy is lost to friction, mechanical energy is:","Converted to heat","Decreasing","Constant","Increasing","C","Mechanical energy (KE + PE) is conserved in ideal conditions.","easy"
"Mechanics","Conservation of Energy","pendulum;potential energy;maximum height","Eduqas;AQA;OCR;Edexcel","In a pendulum swing, when is the potential energy maximum?","At the lowest point","When moving fastest","At the highest point","At equilibrium","C","Potential energy is maximum at the highest point where height is greatest.","easy"
"Mechanics","Conservation of Energy","free fall;energy transformation;falling object","Eduqas;AQA;OCR;Edexcel","What type of energy transformation occurs during free fall?","Kinetic to potential","Potential to kinetic","Heat to kinetic","Sound to mechanical","B","As an object falls, potential energy is converted into kinetic energy.","medium"
"Mechanics","Conservation of Energy","potential energy;vertical fall;height","Eduqas;AQA;OCR;Edexcel","A 10 kg object loses 50 J of potential energy. What is the vertical distance fallen? (g = 10 m/s²)","1 m","5 m","0.5 m","10 m","C","GPE = mgh → h = GPE / (mg) = 50 / (10×10) = 0.5 m.","hard"
"Mechanics","Conservation of Energy","energy graphs;oscillation;conservation","Eduqas;AQA;OCR;Edexcel","Which graph best represents conservation of energy in a system with no friction?","Total energy increasing over time","Kinetic energy oscillating and total energy constant","Potential energy increasing linearly","Mechanical energy decreasing exponentially","B","In frictionless systems, KE and PE may oscillate, but total energy remains constant.","hard"
"Mechanics","Conservation of Energy","mechanical energy;GPE;resting mass","Eduqas;AQA;OCR;Edexcel","What is the total mechanical energy of a mass at rest at a height of 10 m? (m = 2 kg, g = 9.8 m/s²)","0 J","98 J","19.6 J","196 J","D","Total mechanical energy = GPE = mgh = 2 × 9.8 × 10 = 196 J.","medium"
"Mechanics","Conservation of Energy","energy loss;friction;real-world systems","Eduqas;AQA;OCR;Edexcel","In real-world systems, why is mechanical energy not fully conserved?","Mass is lost","Friction and air resistance convert energy into heat","Time increases","Weight decreases","B","Non-conservative forces like friction convert mechanical energy into thermal energy.","medium"
