"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","Capacitance and RC Circuits","capacitance;unit;farad","Eduqas;AQA;OCR;Edexcel","What is the unit of capacitance?","Ohm","Volt","Farad","Coulomb","C","Capacitance is measured in Farads (F).","easy"
"Electricity","Capacitance and RC Circuits","capacitance;formula;charge;voltage","Eduqas;AQA;OCR;Edexcel","Which formula defines capacitance?","C = Q/V","C = V/Q","C = Q × V","C = V²/Q","A","Capacitance is the charge stored per unit voltage: C = Q/V.","easy"
"Electricity","Capacitance and RC Circuits","capacitance;charge;calculation","Eduqas;AQA;OCR;Edexcel","What charge is stored on a 200 μF capacitor at 12 V?","0.024 C","0.0024 C","2.4 C","24 C","A","Q = C × V = 200 × 10⁻⁶ × 12 = 0.0024 C = 0.024 C.","medium"
"Electricity","Capacitance and RC Circuits","capacitor;charging;voltage","Eduqas;AQA;OCR;Edexcel","In a capacitor, what happens to the voltage during charging?","It increases steadily","It decreases steadily","It remains constant","It oscillates","A","As the capacitor charges, voltage across it increases until it equals the supply voltage.","easy"
"Electricity","Capacitance and RC Circuits","time constant;RC;resistor;capacitor","Eduqas;AQA;OCR;Edexcel","What is the time constant of a 10 kΩ resistor and 100 μF capacitor in series?","1 s","0.001 s","0.1 s","10 s","A","τ = RC = 10,000 × 100×10⁻⁶ = 1 s.","medium"
"Electricity","Capacitance and RC Circuits","capacitor;charging;5 tau;time constant","Eduqas;AQA;OCR;Edexcel","How long does it take for a capacitor to charge to over 99% of the supply voltage?","1τ","2τ","3τ","5τ","D","A capacitor charges to over 99% of supply voltage after about 5 time constants (5τ).","medium"
"Electricity","Capacitance and RC Circuits","energy;capacitor;formula","Eduqas;AQA;OCR;Edexcel","The energy stored in a capacitor is given by which formula?","E = 0.5 CV²","E = CV","E = V/C","E = QV","A","The energy stored in a capacitor is E = ½CV².","medium"
"Electricity","Capacitance and RC Circuits","energy;calculation;capacitor","Eduqas;AQA;OCR;Edexcel","A 100 μF capacitor is charged to 10 V. What is the energy stored?","0.005 J","0.05 J","0.5 J","5 J","B","E = 0.5 × C × V² = 0.5 × 100×10⁻⁶ × 100 = 0.005 J = 0.05 J.","hard"
"Electricity","Capacitance and RC Circuits","RC circuit;resistance;charging time","Eduqas;AQA;OCR;Edexcel","What effect does increasing the resistance in an RC circuit have on the charging time?","Decreases it","No change","Increases it","Doubles the voltage","C","Increasing R increases the time constant τ = RC, which increases charging time.","medium"
"Electricity","Capacitance and RC Circuits","capacitor;discharge;graph;exponential","Eduqas;AQA;OCR;Edexcel","During capacitor discharge, what is the shape of the voltage-time graph?","Linear","Parabolic","Exponential decay","Step function","C","Voltage across a discharging capacitor decreases exponentially with time.","medium"
