topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",leptons;fundamental particles;electron,Eduqas;AQA;OCR;Edexcel,Which of the following is a fundamental particle?,Proton,Neutron,Electron,Pion,C,Electrons are leptons and are not made of smaller particles — they are fundamental.,easy
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",quarks;neutron;structure,Eduqas;AQA;OCR;Edexcel,Which quark combination makes up a neutron?,uud,udd,duu,ddu,B,A neutron is made up of one up and two down quarks: udd.,medium
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",positron;antiparticle;electron,Eduqas;AQA;OCR;Edexcel,Which particle is the antiparticle of the electron?,Muon,Tau,Neutrino,Positron,D,The positron has the same mass as an electron but opposite (positive) charge.,easy
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",leptons;classification;proton,Eduqas;AQA;OCR;Edexcel,Which of the following is not a lepton?,Muon,Electron,Neutrino,Proton,D,"The proton is a baryon (made of quarks), not a lepton.",medium
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",quarks;charge;down quark,Eduqas;AQA;OCR;Edexcel,What is the electric charge of a down quark?,+2/3 e,-1/3 e,-2/3 e,+1/3 e,B,Down quarks carry a charge of -1/3 e.,medium
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",baryons;mesons;quark content,Eduqas;AQA;OCR;Edexcel,Which property distinguishes baryons from mesons?,Mass,Charge,Quark content,Spin,C,Baryons are made of 3 quarks; mesons are made of a quark-antiquark pair.,medium
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",baryon number;proton;fundamental properties,Eduqas;AQA;OCR;Edexcel,What is the baryon number of a proton?,0,1,-1,1/3,B,Baryons such as protons and neutrons have baryon number +1.,easy
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",neutrino;leptons;properties,Eduqas;AQA;OCR;Edexcel,Which of the following best describes a neutrino?,"Massless, charged lepton","Massless, neutral lepton",Massive baryon,Massive quark,B,"Neutrinos are extremely low mass, neutral leptons.",medium
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",leptons;forces;interactions,Eduqas;AQA;OCR;Edexcel,Which interaction are leptons not affected by?,Gravitational,Electromagnetic,Strong nuclear,Weak nuclear,C,Leptons do not experience the strong nuclear force.,hard
Particles and Nuclear Structure,"Fundamental Particles (quarks, leptons)",weak force;beta decay;fundamental interactions,Eduqas;AQA;OCR;Edexcel,Which fundamental interaction is responsible for beta decay?,Gravitational,Strong,Weak,Electromagnetic,C,Beta decay is governed by the weak nuclear force.,medium
