topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Mechanics,Newton’s Laws of Motion,newton's first law;inertia;resultant force,Eduqas;AQA;OCR;Edexcel,What does Newton’s First Law state?,F = ma,Every action has an equal and opposite reaction,An object will remain at rest or move with constant velocity unless acted upon by a resultant force,Force is directly proportional to acceleration,C,Newton’s First Law describes inertia and states that motion continues unchanged unless a resultant force acts.,easy
Mechanics,Newton’s Laws of Motion,balanced forces;resultant force;motion,Eduqas;AQA;OCR;Edexcel,A car is moving at constant velocity. What can be said about the forces acting on it?,No forces act on it,Resultant force is zero,Engine force is greater than friction,Weight is greater than normal reaction,B,Constant velocity implies balanced forces and zero resultant force.,easy
Mechanics,Newton’s Laws of Motion,newton's second law;F=ma;acceleration,Eduqas;AQA;OCR;Edexcel,"According to Newton's Second Law, the acceleration of an object is:",Proportional to its weight,Inversely proportional to the applied force,Proportional to net force and inversely proportional to mass,Equal to the force applied,C,F = ma → a = F/m.,medium
Mechanics,Newton’s Laws of Motion,F=ma;acceleration;calculation,Eduqas;AQA;OCR;Edexcel,A force of 10 N is applied to a 2 kg mass. What is its acceleration?,2 m/s²,5 m/s²,10 m/s²,20 m/s²,B,a = F/m = 10 / 2 = 5 m/s².,easy
Mechanics,Newton’s Laws of Motion,newton's third law;reaction force;interaction,Eduqas;AQA;OCR;Edexcel,What is the reaction force when you push against a wall?,Your acceleration,Friction from the wall,An equal force from the wall pushing you,Gravity pulling you down,C,"According to Newton’s Third Law, the wall pushes back with equal force in the opposite direction.",medium
Mechanics,Newton’s Laws of Motion,newton's third law;skaters;equal and opposite,Eduqas;AQA;OCR;Edexcel,Two skaters push off one another and move in opposite directions. This demonstrates:,Newton’s First Law,Newton’s Second Law,Newton’s Third Law,Conservation of energy,C,Each skater experiences an equal and opposite force (Newton’s Third Law).,easy
Mechanics,Newton’s Laws of Motion,net force;F=ma;acceleration,Eduqas;AQA;OCR;Edexcel,An object of mass 3 kg accelerates at 4 m/s². What is the net force acting on it?,7 N,12 N,1.3 N,3 N,B,F = ma = 3 × 4 = 12 N.,easy
Mechanics,Newton’s Laws of Motion,newton's laws;connected masses;acceleration,Eduqas;AQA;OCR;Edexcel,A force of 20 N is applied to two blocks connected together (5 kg and 3 kg). What is the acceleration of the system?,2.5 m/s²,1.5 m/s²,3.0 m/s²,4.0 m/s²,A,"Total mass = 8 kg, a = F/m = 20 / 8 = 2.5 m/s².",hard
Mechanics,Newton’s Laws of Motion,newton's third law;collision;forces,Eduqas;AQA;OCR;Edexcel,What does Newton's Third Law imply for forces in a collision?,They are unequal,They act in the same direction,They are equal in magnitude and opposite in direction,One object exerts force while the other absorbs,C,"In a collision, each object exerts an equal and opposite force on the other.",medium
Mechanics,Newton’s Laws of Motion,inertia;first law;car motion,Eduqas;AQA;OCR;Edexcel,Which of Newton’s laws explains why passengers lurch forward when a car suddenly stops?,First,Second,Third,None,A,"According to Newton’s First Law, passengers continue in motion unless acted on by a force.",medium
